label,type,startEquity,endEquity,totalReturnPct,annualizedReturnPct,maxDrawdownPct,annualizedVolatilityPct,turnoverPct,peakDateBeforeMaxDrawdown,troughDate,recoveryDate,recoveryBars
Current Strategy,strategy,350000.000000,329006.773931,-0.05998065,-0.02047653,0.09702138,0.03081282,38.06442603,2008-01-29,2008-05-20,,
60/40 (VTI/BND),benchmark,350000.000000,346843.139637,-0.00901960,-0.00302596,0.22359215,0.06942835,1.44526466,2007-07-24,2008-05-06,,
80/20 (VTI/BND),benchmark,350000.000000,313083.557888,-0.10547555,-0.03659552,0.32886236,0.10099847,1.39985915,2007-07-24,2008-05-06,,
100% Equity (VTI/VXUS),benchmark,350000.000000,268427.270233,-0.23306494,-0.08493008,0.45317620,0.14267509,1.29819179,2007-07-24,2008-05-13,,
