label,type,startEquity,endEquity,totalReturnPct,annualizedReturnPct,maxDrawdownPct,annualizedVolatilityPct,turnoverPct,peakDateBeforeMaxDrawdown,troughDate,recoveryDate,recoveryBars
Current Strategy,strategy,350000.000000,396567.775113,0.13305079,0.04294712,0.02701465,0.02601357,19.47793010,2022-01-18,2022-05-30,2022-11-29,26
60/40 (VTI/BND),benchmark,350000.000000,435683.490735,0.24480997,0.07650266,0.19238518,0.08052621,1.41172737,2020-02-25,2020-03-30,2020-10-26,30
80/20 (VTI/BND),benchmark,350000.000000,440352.136248,0.25814896,0.08037219,0.26767994,0.11191139,1.25201644,2020-02-25,2020-03-30,2020-12-22,38
100% Equity (VTI/VXUS),benchmark,350000.000000,440660.144225,0.25902898,0.08062652,0.35649825,0.15126143,1.00230638,2020-02-25,2020-03-30,2021-03-02,48
