label,type,startEquity,endEquity,totalReturnPct,annualizedReturnPct,maxDrawdownPct,annualizedVolatilityPct,turnoverPct,peakDateBeforeMaxDrawdown,troughDate,recoveryDate,recoveryBars
Current Strategy,strategy,350000.000000,448382.215713,0.28109204,0.08696462,0.02383339,0.03141053,17.59205355,2022-02-08,2022-05-30,2022-11-15,24
60/40 (VTI/BND),benchmark,350000.000000,435683.490735,0.24480997,0.07650266,0.19238518,0.08052621,1.41172737,2020-02-25,2020-03-30,2020-10-26,30
80/20 (VTI/BND),benchmark,350000.000000,440352.136248,0.25814896,0.08037219,0.26767994,0.11191139,1.25201644,2020-02-25,2020-03-30,2020-12-22,38
100% Equity (VTI/VXUS),benchmark,350000.000000,440660.144225,0.25902898,0.08062652,0.35649825,0.15126143,1.00230638,2020-02-25,2020-03-30,2021-03-02,48
